stats.kills,stats.deaths,stats.assists,stats.killingSprees,stats.longestTimeSpentLiving,stats.totalDamageDealt,stats.visionScore,stats.timeCCingOthers,stats.totalHeal,stats.totalDamageTaken,stats.goldEarned,stats.totalMinionsKilled,stats.champLevel
7,3,2,1,516,83799,20,5,3022,14415,9076,160,11
1,4,4,0,505,68559,19,5,1333,11565,7511,171,11
6,7,10,2,366,156868,19,45,1032,17990,14454,242,14
3,6,11,0,315,201651,28,18,3541,13339,13421,245,16
10,4,16,3,420,114836,9,19,998,11832,12401,146,13
1,3,4,0,619,68090,10,0,1775,9063,7526,148,11
0,3,3,0,485,49706,17,18,3926,7756,6942,144,11
0,3,4,0,744,64074,13,2,2244,8945,6996,174,11
6,12,13,2,339,180160,22,23,1419,24630,12259,214,15
8,5,16,3,587,123316,24,47,1561,14596,12709,190,14
5,2,10,1,373,129071,19,33,2121,14268,9954,177,13
3,3,9,1,1011,104830,24,23,2072,9487,9357,172,12
8,7,6,2,448,88522,21,5,3333,16791,10361,144,11
2,3,11,1,418,85055,32,36,1080,8138,8555,163,12
11,8,8,2,365,138627,24,39,649,22123,13354,206,14
15,8,9,4,410,162346,37,32,4701,25202,15911,194,15
5,0,11,1,0,218193,35,16,4500,13892,13851,264,16
1,4,2,0,995,204840,34,36,501,16062,13108,294,15
12,4,9,3,611,199519,33,23,4208,16426,15541,237,16
5,9,9,2,348,118640,16,31,5376,15507,11065,197,13
10,3,15,3,838,150783,15,2,3037,19833,13626,188,15
5,4,3,1,761,139619,16,9,3932,12606,10232,200,13
3,2,6,1,746,118022,21,1,2233,13817,9907,201,14
5,4,10,2,536,145817,35,44,20668,19180,14286,222,16
3,7,7,1,603,167333,20,7,1772,20559,12459,188,14
1,4,7,0,1278,201684,40,9,3504,19200,13690,261,16
3,2,6,1,1138,182893,21,18,2578,13050,12832,213,16
0,5,2,0,527,167876,27,25,1263,12566,10403,222,13
3,7,0,1,383,86735,15,19,0,12325,8095,172,12
10,3,3,2,852,87640,20,3,3364,12879,9945,150,13
1,5,4,0,453,62213,20,12,1132,9727,7098,146,11
5,2,8,2,870,115507,23,4,620,7898,10746,180,12
0,4,2,0,572,166318,44,4,1733,16018,10766,239,15
9,1,7,2,1354,242689,21,23,3236,11783,15216,275,16
8,4,6,1,880,172471,27,4,3532,17706,14061,253,16
5,3,6,1,860,158456,32,1,3126,14753,12021,245,14
1,6,4,0,574,136285,36,24,2308,15715,9882,203,14
8,4,15,2,482,156672,31,31,3117,17714,13627,219,15
1,2,1,0,1068,65204,11,0,1452,7141,7025,174,11
6,4,4,3,669,129615,13,6,2336,14135,12160,233,14
11,3,2,3,480,154930,26,11,9066,26731,13761,174,15
0,3,6,0,524,104835,13,21,2935,10583,8901,164,13
7,9,5,2,726,184232,37,24,2651,25630,13524,239,16
1,6,6,0,389,79201,18,9,945,11254,7810,165,11
9,2,8,2,809,97202,15,15,1661,9040,10110,164,13
6,3,4,1,730,98627,20,5,1636,12002,9856,182,12
2,6,6,0,453,86774,10,8,996,12985,7434,144,11
3,7,5,0,400,118063,16,22,945,17178,9636,174,13
1,6,5,0,429,108306,26,18,1008,14421,8596,167,12
11,5,7,4,713,153660,16,5,4999,18920,14358,186,15
5,8,10,1,380,175130,20,8,1561,21269,12777,236,15
8,5,7,3,566,235819,23,35,5172,19568,15765,264,16
6,10,6,2,327,175919,29,9,2579,18122,12842,221,15
3,10,7,1,277,141669,43,44,1542,19647,12333,215,14
11,4,18,2,582,223230,33,29,3284,17076,15736,224,16
8,1,7,1,550,92874,10,5,2990,11245,9963,164,13
2,3,0,0,581,106210,19,0,0,8470,8862,192,12
1,6,3,0,285,73832,3,0,2386,15230,7262,144,11
9,0,12,1,0,145848,24,23,1532,10600,12598,212,13
4,2,15,2,919,80294,21,33,8637,9343,9874,170,13
1,5,0,0,384,104455,25,0,792,13150,7899,191,12
3,10,9,1,427,135840,21,9,6179,46348,12085,197,16
5,5,17,1,727,194904,29,34,2247,18755,12800,206,16
3,3,7,1,530,97617,10,9,536,9068,8722,165,13
6,6,7,1,470,181854,33,2,2840,17979,14702,245,16
4,6,8,1,694,165568,31,15,3181,19471,12344,225,15
2,5,5,1,546,172720,20,4,76,20134,11496,219,15
4,4,14,1,449,82556,16,7,1810,13721,9065,159,12
2,5,8,0,654,94729,14,9,1179,13882,8536,159,11
4,9,6,0,544,137155,22,6,5421,30131,10675,179,14
9,6,9,3,462,158560,40,33,4050,41370,14415,202,16
3,1,2,1,1879,183269,22,21,2702,11972,11330,247,14
10,7,5,3,468,203734,30,9,1394,20409,15068,247,15
7,5,18,2,189,115211,25,34,637,16415,10871,159,14
1,8,3,0,426,89473,14,9,1540,15093,7000,146,11
0,4,5,0,544,101897,10,10,1807,12430,7625,181,11
5,3,8,2,406,123757,20,11,4406,13500,11086,177,14
1,5,8,0,545,134592,26,11,2484,17670,10224,191,13
5,9,4,2,585,96360,25,2,2000,18983,11904,178,13
3,2,17,1,578,74798,35,38,9677,8377,10378,175,13
8,4,2,2,1022,145830,35,6,3339,15001,13951,218,14
12,7,8,3,508,209529,26,19,4801,24588,16059,257,15
6,8,10,2,353,165933,11,25,3280,21113,14067,201,15
12,5,13,2,507,157567,21,19,1626,17659,14943,185,16
0,8,8,0,945,118996,17,9,2286,18998,9957,229,14
7,7,21,2,565,170382,31,31,3505,19963,13822,188,16
8,6,3,2,412,127040,26,1,1970,15122,12659,199,14
10,3,6,3,660,163652,14,21,3768,14117,12821,199,14
3,5,2,0,446,109760,16,8,1604,11733,9288,186,12
7,1,6,1,515,111351,14,2,2448,8317,11184,163,13
2,6,9,0,303,85157,12,9,2489,18880,8871,144,13
3,4,6,0,518,109532,22,24,0,14139,8130,159,13
4,7,3,1,368,70115,22,16,910,14568,8111,145,11
4,4,8,1,342,134057,27,12,1939,9278,10406,195,13
6,6,4,2,591,128815,12,14,3176,16428,10332,183,13
4,6,8,1,540,144616,33,5,2287,17288,12637,218,15
5,4,9,2,551,202776,25,18,3492,15604,12898,244,15
2,3,13,0,641,93023,24,34,1697,11340,9486,167,13
5,4,2,1,736,103852,11,5,3361,14577,10628,206,12
12,4,5,2,714,184034,32,9,2053,15062,14587,243,15
11,3,4,2,1017,148701,20,2,4104,14504,13671,212,15
5,2,17,1,1125,104932,41,41,13328,12885,12264,181,15
1,7,5,0,365,63851,11,11,1263,11477,7951,149,11
3,4,9,1,637,117428,19,11,1679,10857,9382,192,12
2,3,10,1,406,95255,17,0,815,10463,9290,161,14
2,8,8,0,541,108643,10,11,813,17378,9436,154,12
8,2,15,1,326,101346,16,29,16832,13499,12399,170,15
2,2,3,1,206,75438,7,11,1181,5067,6961,148,11
2,6,4,1,578,139197,24,2,515,18508,9356,204,14
4,5,5,1,699,179955,18,0,2104,15215,12451,235,15
9,10,5,2,504,162834,29,1,3121,23262,14141,241,15
4,2,8,1,463,137670,9,9,1857,11967,10663,186,14
9,5,3,2,465,169585,23,9,4265,17444,12448,242,13
5,7,8,1,411,105156,17,25,2525,15995,9898,163,12
11,6,8,3,544,138096,15,10,3471,18306,13447,185,13
5,3,2,2,895,186026,46,4,2368,13769,13114,270,15
3,5,4,1,710,145187,21,4,2955,15496,12079,258,15
8,1,8,2,1033,172866,16,22,4811,13085,13173,201,14
7,1,9,2,748,109624,11,22,1334,5076,9820,167,12
4,6,10,1,676,186000,46,8,4015,19962,13686,200,16
6,2,8,2,817,112548,34,36,619,9705,11039,214,12
1,3,5,0,1127,131021,16,4,938,11776,9761,224,13
10,0,6,1,0,166683,34,15,3412,10968,12568,230,15
4,5,14,2,689,142409,18,53,3668,18077,12983,227,15
5,4,13,1,1067,188473,20,24,1885,17890,13030,240,15
9,5,6,1,729,207781,26,10,1937,17267,15560,238,16
2,1,9,1,1126,68927,11,25,5576,6381,8286,151,11
2,10,5,0,280,145341,37,15,3050,21204,10485,209,13
5,4,19,1,752,166534,24,5,2743,19080,13103,203,16
13,6,12,3,420,141114,12,8,4194,25124,14818,202,15
4,7,5,1,500,109967,23,3,4534,19010,10032,193,13
8,10,3,2,496,151885,26,15,3543,23453,13071,189,14
10,5,10,2,553,238398,30,23,4801,21138,16647,268,16
2,6,12,0,626,99076,35,25,10418,12960,10339,188,14
5,5,7,1,769,142117,34,21,2392,15522,11213,201,13
3,1,11,1,249,170828,28,32,11127,9630,12885,261,16
2,2,4,1,467,140542,21,9,902,10428,10304,245,14
10,0,4,1,0,153916,27,5,2502,6920,13231,231,15
7,8,8,1,377,110653,19,4,1906,17145,11054,147,13
9,6,8,3,394,166198,16,22,2605,19786,13592,235,14
6,4,14,2,434,175642,31,28,3014,12220,12590,191,14
8,6,6,1,681,121504,11,6,1377,14778,11812,201,13
11,5,8,3,244,201041,25,1,2505,18472,14966,225,16
2,2,3,0,971,159569,15,1,2934,12586,11546,244,14
2,4,17,1,1255,129816,27,53,16292,24300,11953,188,15
10,4,12,1,934,178540,24,8,2599,18774,14725,194,15
2,6,6,0,528,70667,38,58,6597,15928,9410,170,12
4,3,11,1,768,94403,12,5,2336,9613,10578,167,12
7,10,8,1,356,144136,26,46,9011,20506,13211,224,14
10,8,12,3,637,208292,46,25,1291,23874,15123,216,14
2,5,13,0,1160,129745,13,19,10882,15085,12112,218,15
3,3,12,0,648,171129,27,43,2662,17313,12375,244,16
0,6,4,0,375,75295,14,2,1361,11733,6723,168,11
3,3,17,1,496,84695,18,14,1272,8698,9788,168,12
1,4,1,0,809,89039,17,0,1040,11361,7961,182,12
3,8,5,0,284,82966,16,26,1614,13218,7943,147,12
6,2,8,2,601,69920,25,25,7199,10644,10163,148,12
4,6,7,1,428,136674,35,44,1996,16302,10821,195,13
2,7,8,0,528,179399,32,1,3018,22722,12695,257,15
7,5,7,2,531,202089,20,15,2680,13173,12449,236,13
7,1,8,2,719,133125,30,8,5742,16834,13028,185,15
7,1,5,1,740,110793,19,2,114,7628,11684,198,14
0,4,6,0,512,80577,16,10,1650,10835,7281,158,11
6,5,4,2,659,147154,18,30,1083,13719,12529,213,13
4,4,3,1,1153,156286,23,5,2660,19425,11433,215,15
10,4,6,4,758,220112,31,15,4352,19835,16038,275,15
6,6,9,1,552,108248,15,4,2935,17423,11537,167,13
11,4,6,2,498,158836,8,18,3696,21514,14371,231,15
5,6,9,1,617,150340,40,55,2790,21772,12901,226,15
4,8,10,1,608,203746,35,9,1578,18262,13728,255,15
12,3,12,4,606,164561,22,5,915,15895,13830,178,14
6,5,12,2,507,154720,43,39,2185,13258,13672,191,15
4,8,4,2,403,89283,23,5,2425,15267,9061,168,11
9,5,5,3,449,141982,30,4,1416,18805,13004,184,15
16,8,7,4,357,168795,18,24,3064,21719,16152,196,15
6,3,5,2,349,118880,15,10,497,10558,10223,176,12
3,1,3,1,988,88220,25,8,1103,6307,8572,184,12
2,2,2,1,1019,101798,20,29,833,11202,8991,196,12
7,5,9,1,1078,159077,15,11,3690,16885,12908,216,14
6,5,5,3,557,136204,27,0,2709,16013,13041,181,15
1,5,4,0,686,63361,23,36,74,10391,7051,148,11
5,6,10,1,513,95571,15,3,871,12403,9147,146,12
6,4,7,2,485,158550,30,26,2843,16222,12092,225,15
4,5,5,1,247,182925,22,6,3553,15211,13166,219,15
5,8,7,1,307,103108,14,18,734,14591,9925,173,12
10,3,8,1,441,138771,32,4,1534,13053,12185,203,13
6,7,7,1,262,121351,37,3,2388,15380,11060,201,13
7,6,2,2,393,133923,18,1,766,15808,12234,195,13
1,3,1,0,674,74498,13,5,311,9762,7689,177,12
2,4,5,1,977,95301,19,5,1108,13129,8772,177,12
2,4,8,1,1064,198308,47,33,2623,15549,14280,276,15
0,5,10,0,796,133873,22,22,1929,13521,9652,200,14
3,4,9,1,524,110447,16,34,1353,11056,9944,187,12
0,11,6,0,178,74791,10,6,0,23476,7092,164,11
10,2,9,2,1019,155051,23,8,2802,17493,13080,173,14
5,8,4,1,287,140317,15,0,1485,14715,11245,161,13
7,3,12,2,623,175524,10,22,2791,12847,13320,220,14
3,1,5,1,609,87476,30,27,430,6551,9872,191,12
0,4,3,0,546,81310,9,10,661,8844,6795,166,11
6,5,14,1,317,110877,15,16,3946,15014,10561,166,14
10,7,4,2,641,90857,18,2,2186,17805,10601,157,12
5,8,5,2,242,151551,14,23,1157,17188,10028,165,13
1,6,5,0,290,67145,19,30,1290,11395,7624,161,11
3,6,6,0,335,95597,20,14,935,11582,9104,157,12
5,2,10,2,804,90230,14,15,3935,13878,9313,149,14
7,7,8,3,267,147539,19,15,1304,13493,12077,177,13
3,5,13,1,833,72247,14,38,11046,16883,10179,164,13
7,4,6,3,666,204771,24,30,4039,16643,14178,263,15
5,3,14,2,1063,143336,24,10,3189,14862,12207,196,15
0,6,7,0,356,94769,31,43,1581,16685,8240,203,12
0,8,1,0,346,127830,17,4,817,17312,9646,195,13
10,2,15,2,1350,199850,39,37,2050,12616,16980,265,16
0,5,4,0,576,104850,27,8,2462,14155,9122,190,13
3,6,4,1,596,115804,10,38,5535,22621,10674,160,15
14,1,14,2,1111,200555,23,32,4997,13826,15908,222,15
10,2,7,1,331,135496,22,28,1678,7023,12197,177,14
6,7,2,2,461,90598,14,27,1208,14731,9171,175,12
4,1,12,2,925,117683,26,15,2194,8934,9764,181,14
0,7,4,0,520,72146,21,20,648,13257,8238,191,12
5,4,6,1,606,100310,14,21,3059,13257,9955,172,14
3,6,10,0,643,241332,16,30,4158,21535,14095,257,16
3,5,20,1,827,145495,36,47,17529,22558,14685,207,16
5,6,2,1,534,147298,17,15,1733,15185,9681,194,13
11,2,5,2,613,200579,27,4,1881,14164,14977,233,15
7,6,4,2,578,109656,11,14,2488,14633,10296,183,13
6,6,6,2,263,127489,16,0,3879,14877,10741,148,14
4,4,7,1,746,100611,25,18,2274,11499,10586,187,13
8,1,6,2,1250,150505,24,26,3959,11388,13367,197,14
9,1,1,1,383,169146,25,3,4311,13465,13347,225,15
6,2,4,1,1541,161111,30,23,2908,11858,12254,232,14
9,6,13,1,719,188479,26,38,5733,23583,14525,240,16
3,8,5,1,308,96166,23,38,1832,16508,8893,178,12
3,3,13,1,774,131705,26,14,3263,14437,10737,199,14
0,3,1,0,469,97274,14,5,904,9148,7846,195,12
4,0,5,1,1769,197988,24,12,1244,10829,13819,298,15
1,3,2,0,997,137425,27,13,2380,11966,10103,219,13
11,7,7,3,637,150765,38,5,4295,18544,15345,205,15
6,7,17,1,484,159102,23,53,14190,23283,15206,232,16
3,7,9,0,468,195598,43,7,5648,24731,12902,242,16
7,5,19,1,468,204427,48,47,3166,18797,16600,231,16
4,9,7,0,343,155472,21,31,408,22839,11648,219,14
2,4,13,0,769,149915,32,25,6823,15073,11270,242,15
5,3,7,1,1178,182747,27,9,18,10999,12873,261,16
3,3,7,0,724,171572,20,8,2775,14629,12163,249,14
2,4,11,0,883,124623,28,27,638,10196,10453,205,14
2,3,6,1,813,69800,17,16,1845,10003,8037,160,13
3,4,4,0,492,71120,7,4,1528,11016,7946,151,12
2,4,12,0,537,105677,20,17,1161,16362,9093,162,14
2,5,1,1,497,108549,18,14,3122,12145,9693,206,12
1,4,1,0,916,118261,37,8,888,10486,9602,243,12
4,1,7,1,1315,117356,12,11,986,9471,9586,194,14
5,8,10,1,461,178363,23,12,4224,24152,13083,242,14
5,5,24,2,575,117104,32,61,12478,14513,12517,177,15
11,1,10,2,644,203327,27,21,3765,13056,14175,235,15
0,9,4,0,473,70210,12,27,7513,17560,8145,154,12
4,7,1,1,332,106387,13,0,1830,16516,9846,186,11
8,2,8,2,598,110916,13,17,3575,10030,10727,176,12
4,4,2,1,449,100452,13,0,1774,14538,9142,185,11
3,10,13,1,449,126206,24,23,6847,24894,11380,156,15
4,6,6,1,432,103465,29,15,2048,13313,8348,174,12
11,4,4,2,268,110600,13,4,1601,11610,12126,166,13
5,7,4,1,801,148177,22,29,3200,19421,11106,213,14
14,1,11,2,303,190611,26,6,5493,12453,15892,220,16
3,5,13,1,606,204069,45,35,1378,17840,13926,251,15
5,5,11,1,510,120023,27,5,2560,16774,11255,196,14
3,7,1,1,784,121467,19,70,4006,22841,9655,206,13
3,4,10,1,718,117700,44,22,8099,13243,12158,209,15
5,3,5,1,1109,221343,33,0,6314,17720,14758,278,16
7,4,3,1,715,201722,27,23,3292,15227,14731,262,15
6,3,16,2,974,131695,39,36,10552,15922,12610,195,16
5,6,4,1,421,122840,15,31,1397,14277,11189,175,13
3,8,4,1,457,218401,21,23,4194,22921,15415,307,16
6,3,6,1,546,103142,21,16,3213,12008,9992,181,12
0,5,3,0,312,73577,21,25,1155,10524,6793,159,11
4,0,7,1,0,120591,17,18,3110,8400,9781,203,12
6,6,6,1,789,198345,34,2,2915,18735,14972,256,16
8,13,11,2,401,104693,20,30,2650,23449,11582,159,14
9,9,24,3,299,110571,24,38,14697,23669,13407,163,15
4,4,6,1,862,97908,25,5,293,11294,10277,191,13
6,2,3,2,891,148892,22,2,3036,12007,11603,220,13
11,5,9,2,996,245609,46,65,3648,24542,16927,280,16
4,5,7,1,986,116387,10,35,6678,11437,10703,201,13
3,4,17,1,473,168329,42,49,1728,15698,12998,205,15
2,8,4,0,432,122600,20,8,1913,20576,10445,213,13
8,9,6,2,482,111129,19,35,541,18392,11905,185,13
2,8,4,0,634,196657,21,6,3255,21361,12391,198,15
5,11,10,1,403,181018,27,7,4491,29592,12909,204,16
6,4,5,1,727,157756,35,0,604,17280,12765,219,15
13,4,12,3,634,237530,18,23,4825,17763,17817,239,16
9,2,11,1,1088,200081,35,35,7520,21606,14309,230,16
7,3,11,2,851,163904,18,21,3719,13520,12159,209,15
4,4,6,1,931,171832,28,2,1737,17506,11550,255,15
2,1,7,1,1025,115793,19,14,2056,7112,9643,210,14
0,3,2,0,1033,83372,14,0,1081,9624,7258,185,12
1,2,2,0,958,135011,20,9,2727,13437,8852,213,13
7,1,9,2,1379,185427,28,11,3748,13049,13254,232,15
9,1,14,2,1010,164365,20,27,2336,11619,13125,211,15
0,6,5,0,672,98624,23,26,1768,14013,8893,203,12
8,6,13,2,567,127770,17,16,815,14233,11966,143,13
8,8,8,1,378,115952,14,21,3119,17126,12463,188,13
7,3,2,2,816,133358,28,1,1309,8487,11508,179,13
4,2,1,1,1311,108910,25,1,1387,9940,10404,199,13
1,11,4,0,375,121289,10,11,736,21326,8768,191,13
7,2,10,2,779,243676,40,27,3402,13226,15306,283,16
2,9,2,1,521,106164,14,2,1929,19938,8732,181,13
2,2,7,1,660,78194,17,25,1015,8353,7847,151,12
5,8,7,2,547,188640,32,3,3934,18610,13719,218,15
7,7,10,2,503,237737,50,12,3109,18843,15869,283,16
12,2,8,2,507,171701,28,5,3403,11101,15141,228,14
4,3,7,1,959,161430,27,0,4826,17616,12277,238,15
8,5,6,3,640,169074,26,9,2743,17850,14113,193,16
3,5,4,0,424,86980,20,12,2843,12876,7958,179,11
0,7,6,0,481,74696,16,25,1170,13011,7761,179,12
8,4,13,2,658,140514,17,6,5186,23861,12954,172,15
6,6,11,1,678,125049,20,34,10800,21571,11877,183,15
10,2,11,1,546,225923,34,9,2025,11702,16528,268,16
0,5,8,0,408,50826,21,21,4840,12126,7773,151,11
5,8,7,1,336,87455,17,7,1417,15772,9033,145,12
17,2,4,3,733,160248,31,2,3477,10549,16278,222,15
12,9,0,4,795,131625,46,24,2376,24885,14007,201,15
4,7,14,0,323,103007,49,52,1072,15910,11353,181,14
5,4,10,1,731,109247,15,14,1686,12805,10586,182,13
4,7,3,0,289,110260,26,43,688,15374,10412,204,12
4,1,3,1,1272,124660,11,0,1363,9030,10644,199,13
3,6,0,1,399,73759,19,14,1645,11983,8428,175,11
2,10,2,0,277,76151,13,3,1787,16995,7337,156,11
2,4,2,1,499,106750,14,15,466,10508,8932,177,11
4,3,9,2,482,90880,15,1,1324,10748,9384,167,12
3,4,3,1,666,71712,14,6,2807,14622,8176,159,11
5,7,9,1,510,172184,22,5,1620,18193,12114,192,16
11,2,7,3,439,122861,24,6,3001,15241,11849,182,13
3,6,2,1,417,87091,8,0,2825,14589,9662,176,12
4,3,9,1,702,124324,14,2,345,10703,10556,179,13
2,5,2,1,405,124303,22,17,3678,16250,9747,190,13
5,1,7,2,457,85940,15,20,1101,6069,9138,151,11
1,5,5,0,668,59451,23,15,1428,10153,7047,147,13
1,5,2,0,494,106810,11,10,2982,15605,8485,182,12
4,6,2,1,631,99478,15,15,3306,15834,8974,169,13
4,1,9,1,354,140087,27,28,605,7394,11154,226,14
5,2,8,2,401,111823,13,5,1624,11283,9961,179,12
3,2,3,0,407,120173,9,14,1152,10723,8931,197,12
7,1,7,1,519,153619,24,9,2259,11435,12554,218,14
5,4,1,2,705,159676,22,0,3521,14179,12140,236,13
3,8,5,0,290,92000,27,43,2182,20854,9493,174,13
19,3,4,4,646,165508,33,13,4434,19431,16225,183,15
4,0,8,1,0,76085,13,15,3091,10298,8120,159,13
2,6,6,1,509,108193,23,4,15963,24595,9123,173,13
4,2,15,1,993,154686,34,7,914,16021,12154,209,14
7,9,10,2,548,157279,28,23,4724,20090,12915,207,15
5,5,18,1,916,123973,33,37,798,26584,11959,186,15
6,4,9,1,364,89086,18,1,1963,10034,10412,148,12
7,7,5,2,278,110279,11,10,2318,15853,10415,172,13
4,8,8,1,442,105338,15,15,1828,16105,10699,182,13
2,9,0,0,240,92633,15,25,2122,19158,7372,147,12
8,6,12,2,607,206081,37,16,4746,21839,14637,237,16
10,5,8,2,1166,227397,16,24,2342,22881,14495,248,15
5,9,4,2,436,120418,16,23,1727,17152,10905,165,13
2,1,10,1,302,97752,13,13,1776,9640,9276,146,12
0,2,4,0,592,100005,26,25,1792,10987,8522,202,12
10,6,14,2,234,136198,14,21,2688,16349,12847,173,14
4,8,14,1,333,85728,10,39,6726,17564,10214,168,13
6,3,6,2,884,136163,16,7,4574,18421,12540,206,14
1,2,6,0,674,72925,20,20,1369,4921,7492,151,12
1,3,2,0,856,86320,12,0,1421,8711,7561,179,11
1,0,4,0,1207,78419,10,5,854,4614,7887,163,11
1,3,1,0,681,87004,16,4,715,10475,7948,178,12
5,1,14,1,1088,110155,8,24,2274,6484,10265,170,12
10,4,6,3,605,152524,17,12,2547,12351,14371,202,14
5,3,4,1,1138,125734,17,15,2305,10301,10077,193,12
6,7,10,1,516,187395,36,30,3883,18355,13725,239,15
6,0,14,1,1873,186154,33,30,4848,13855,14220,224,16
7,4,7,2,670,184253,18,6,6342,19655,15204,251,16
1,3,4,0,981,108331,22,44,1346,10971,10161,197,12
2,1,4,0,1087,99088,19,9,2529,7039,8742,192,13
4,7,10,0,426,115203,15,8,3244,19939,11085,166,13
10,2,13,3,597,119192,18,5,1863,9147,12571,167,13
5,5,16,2,398,105422,30,21,4144,14927,10263,162,15
6,3,8,1,420,133640,26,3,2494,11605,11151,200,13
1,4,7,0,702,91143,24,17,3132,14227,8160,147,13
14,5,13,4,413,164348,29,17,4530,19445,14942,204,15
7,10,9,2,372,210228,34,30,5013,34406,14675,225,16
2,5,15,0,674,193582,34,30,3346,18032,12311,251,16
7,4,16,3,622,228162,19,22,3323,17679,14682,238,15
6,7,10,1,409,128240,24,40,2183,20375,12045,211,14
6,6,4,1,571,116170,18,12,2786,17853,9539,170,11
4,14,10,1,290,102593,17,4,1904,21298,10026,149,13
7,6,19,2,429,176743,20,31,4114,21222,12727,185,15
3,3,13,1,718,153117,25,7,1212,10732,12170,228,15
4,6,3,1,592,92678,18,1,2540,14071,9408,161,12
1,3,6,0,788,73235,24,6,3744,13623,8525,157,13
7,4,7,3,507,98536,27,44,911,12357,10348,168,13
7,4,13,1,979,172914,26,21,2427,16015,13298,204,15
7,7,8,1,474,174781,20,44,3632,25308,12743,226,16
