stats.kills,stats.deaths,stats.assists,stats.killingSprees,stats.longestTimeSpentLiving,stats.totalDamageDealt,stats.visionScore,stats.timeCCingOthers,stats.totalHeal,stats.totalDamageTaken,stats.goldEarned,stats.totalMinionsKilled,stats.champLevel
11,7,5,3,682,165269,25,20,12908,33016,12488,23,14
6,5,4,1,663,120594,27,9,12133,21028,9566,32,13
6,2,8,3,473,124203,24,10,15536,22943,9201,21,12
5,2,4,2,754,124161,19,16,2197,10216,10407,177,13
9,1,9,2,586,131072,21,14,5889,17338,10380,25,13
12,9,16,3,391,163256,31,33,9495,38280,16572,33,16
9,5,10,2,431,171386,16,5,15923,24440,11460,27,14
3,5,9,1,460,116757,13,14,9831,20992,8509,40,11
10,4,12,1,244,170157,24,18,4656,15286,12246,49,14
16,7,7,3,772,155909,33,9,15117,29367,14925,61,15
4,8,12,0,425,213053,33,12,9335,26504,12508,22,16
7,2,6,2,1496,274967,51,2,26973,27755,13671,35,16
4,5,2,0,1214,170890,62,22,7957,23427,11988,77,15
4,6,7,2,556,152547,51,7,13924,28218,11413,38,14
5,6,4,2,896,173983,84,20,6433,21926,11115,59,14
6,12,6,1,231,106176,11,19,2578,20699,10344,155,12
9,8,4,2,395,106736,28,22,5414,21291,9755,39,13
5,3,16,1,938,149788,21,21,13550,24880,11298,21,14
2,0,9,1,0,191419,24,20,10605,18193,10162,42,14
2,3,8,1,1121,235961,25,14,12237,25877,12604,61,16
4,4,6,1,1187,229992,65,6,20011,29074,12891,39,16
5,6,9,1,821,229442,51,23,9181,29542,13229,100,16
1,6,2,0,706,154203,30,4,12315,29770,8894,27,14
5,4,11,2,720,185632,87,4,16956,28247,12485,63,16
3,0,11,1,0,165736,16,20,13685,19235,10148,28,14
11,2,7,3,528,140657,30,19,9176,20056,10991,57,13
4,3,6,1,481,92549,16,2,1144,9590,9067,153,13
6,6,9,2,649,120077,29,28,6708,30919,11433,33,14
8,1,9,1,495,231229,68,17,11985,21412,13071,49,16
5,8,11,0,345,127960,43,13,18793,40390,10502,20,14
6,5,11,3,648,181085,43,18,11521,33140,11533,35,14
4,7,3,1,482,228734,27,26,8856,25854,11576,52,15
6,2,14,1,856,205414,34,21,10634,25954,12269,54,16
5,2,3,1,961,144782,25,13,5527,21195,8868,32,13
1,4,4,0,828,108529,29,12,9234,21373,6725,21,10
6,3,6,2,968,128480,21,21,5875,21656,11741,191,13
3,2,9,1,475,119027,31,16,8356,16878,7847,23,13
0,9,2,0,310,63119,18,14,2607,21019,5997,132,11
12,7,8,5,450,138410,42,23,12962,28087,12235,38,15
6,10,8,1,314,175103,25,22,6352,25221,12500,65,14
