stats.kills,stats.deaths,stats.assists,stats.killingSprees,stats.longestTimeSpentLiving,stats.totalDamageDealt,stats.visionScore,stats.timeCCingOthers,stats.totalHeal,stats.totalDamageTaken,stats.goldEarned,stats.totalMinionsKilled,stats.champLevel
1,5,4,0,669,52952,14,6,4270,21632,6554,134,12
1,11,11,0,209,128391,26,4,2316,27203,9432,203,15
8,5,16,2,551,126752,18,23,3396,17647,12727,169,16
3,6,10,1,307,52022,17,26,2746,12016,8291,119,12
9,3,9,2,789,104256,14,16,4628,12665,10669,141,13
3,5,3,1,620,55680,15,9,887,11437,7699,124,11
10,3,4,2,713,104503,11,12,2241,10706,11516,187,14
4,2,6,1,614,77524,19,13,3877,13174,8057,143,13
1,4,3,0,600,88532,15,16,1695,10440,7334,170,13
5,5,4,1,197,72003,21,6,2123,13439,8276,137,13
10,3,0,3,396,80206,15,17,5732,15896,10120,166,13
9,2,12,3,896,155884,34,6,943,13732,13021,205,15
5,6,4,1,494,144668,15,8,4625,23768,10448,247,15
5,2,10,1,373,129071,19,33,2121,14268,9954,177,13
7,4,5,2,597,74018,15,26,2679,14954,9197,121,12
2,8,7,0,525,77714,15,18,1913,27291,7360,138,11
11,1,14,2,851,112359,12,29,1969,11763,11486,151,14
3,9,8,1,384,88475,32,32,4148,18044,8506,139,13
4,3,9,1,785,120559,30,29,4251,15195,11467,189,15
1,4,1,0,922,140568,26,1,6404,22898,11083,233,15
8,4,7,2,689,118315,20,35,5183,16480,12361,145,15
4,6,5,0,789,83310,19,10,6806,25252,9831,150,14
0,7,7,0,354,108459,31,9,1331,12748,8171,167,14
1,4,4,0,755,101279,24,15,3550,14474,9138,185,13
9,3,4,2,782,98859,14,2,6741,20116,11116,192,15
3,4,8,1,859,139712,20,22,3538,24913,10604,196,16
5,5,5,1,795,184852,18,33,986,17750,13057,256,16
6,4,7,2,626,142934,33,5,2406,16442,12945,195,15
5,4,2,1,833,165051,19,30,8460,19899,11601,218,15
5,7,6,2,511,156430,37,28,13726,35970,13381,228,16
0,6,4,0,302,96006,10,9,2103,13969,6907,166,12
5,2,2,2,529,92322,19,11,2998,11310,8081,157,12
3,5,6,1,608,72239,12,26,6410,16104,6847,118,12
3,4,8,1,424,75919,26,14,2927,14573,8393,132,12
6,8,8,1,391,134214,35,2,986,22666,11868,181,15
8,8,8,1,338,142362,31,20,8731,29945,11694,163,15
4,6,9,1,499,117817,26,24,2520,17739,9997,164,15
3,14,12,0,554,116447,31,19,114,27030,11690,184,15
1,8,1,0,465,131185,17,16,4568,31571,9070,194,14
11,0,5,1,0,163200,29,6,4783,19070,13773,229,16
2,0,1,1,0,70007,20,16,2342,5882,7866,153,12
1,0,6,0,0,94908,19,0,1024,7406,8794,185,13
0,3,3,0,761,73576,11,25,2829,14019,7385,168,13
4,2,4,1,966,152656,39,0,1001,11728,11939,213,15
5,13,11,1,427,122064,37,36,11156,40936,11814,171,15
2,4,3,0,636,67622,17,11,1003,11573,7456,145,12
