stats.kills,stats.deaths,stats.assists,stats.killingSprees,stats.longestTimeSpentLiving,stats.totalDamageDealt,stats.visionScore,stats.timeCCingOthers,stats.totalHeal,stats.totalDamageTaken,stats.goldEarned,stats.totalMinionsKilled,stats.champLevel
1,1,13,0,511,21757,42,17,8468,5303,6683,36,11
3,3,4,1,831,25422,62,17,209,11187,5674,37,10
6,7,9,1,560,39636,63,36,896,20998,8546,34,12
1,6,14,0,587,17427,82,43,1156,16837,8060,34,13
3,9,6,1,317,30765,24,16,1021,16061,5978,42,10
2,4,13,0,376,12621,33,37,1326,10351,5712,22,10
2,6,2,0,333,24433,37,15,956,15030,5546,38,10
2,1,22,1,184,22965,48,31,6995,8414,7595,34,12
1,2,3,0,591,22258,38,21,3730,8589,5365,39,9
0,4,3,0,482,10365,40,21,1774,8113,4546,25,9
1,4,7,0,776,17254,51,20,229,8239,5020,27,9
10,11,17,2,582,33975,83,41,4040,23562,14588,45,15
2,8,8,0,376,17169,47,32,830,18381,6308,26,11
0,4,13,0,560,14685,42,26,4288,12131,5364,27,10
2,7,9,0,601,36176,48,21,1378,13909,5990,35,9
1,4,11,0,1030,27768,44,23,5948,13376,6048,39,10
0,7,23,0,240,19410,30,41,9884,16550,6121,28,11
0,8,19,0,288,24060,69,27,478,18629,7328,35,12
1,1,17,0,766,20342,64,15,443,12041,8463,34,14
1,4,4,0,1397,23935,93,16,5720,14593,7251,34,13
1,5,17,0,511,27028,58,38,1407,16028,8280,43,13
4,5,10,1,884,38162,54,26,2863,25939,8098,37,13
8,9,12,2,361,26492,57,19,3054,17909,10936,33,12
0,3,9,0,487,19938,73,17,3970,10131,6017,36,12
8,3,4,2,463,56096,78,34,5685,24962,10596,66,14
5,3,8,1,503,31441,81,41,6120,18604,10331,42,13
1,3,12,0,883,35110,156,22,11213,17410,9116,53,15
0,7,13,0,878,16357,77,25,3899,24914,7858,33,14
0,2,8,0,1481,19969,72,17,2085,14901,7781,32,13
3,4,3,0,974,22154,104,12,1210,21462,7778,45,12
0,8,6,0,550,26875,72,51,3199,26522,7100,39,12
1,6,12,0,1003,18425,90,28,481,18581,7850,40,14
2,4,4,1,524,20766,49,24,2825,10699,6386,42,10
5,3,9,2,418,35378,53,19,347,10151,6998,38,12
5,6,2,1,516,19575,29,26,440,11807,6662,24,10
3,2,12,1,695,17216,39,14,0,7605,6802,27,11
0,7,6,0,692,22770,48,20,3877,18897,6544,38,11
2,1,17,1,510,40234,74,18,6620,10987,8441,25,14
1,6,13,0,763,21546,78,26,3835,13874,7415,36,13
2,6,11,1,491,18601,54,38,6946,20379,7101,28,12
2,5,3,0,772,22550,65,19,1928,16378,6656,32,12
2,0,22,1,0,24906,78,38,14002,16467,8088,40,14
0,4,0,0,751,19173,24,28,1976,10864,4097,22,8
2,1,6,0,816,20588,31,15,4586,6985,5880,31,10
1,2,10,0,966,26771,73,15,1696,15410,6694,48,11
2,5,5,0,507,23078,56,17,1754,15945,6916,35,12
2,1,9,0,629,197798,32,24,8754,16967,11411,46,15
1,9,18,0,480,26755,82,50,4754,25760,8951,33,13
3,8,5,1,536,25220,41,19,428,14845,5825,28,9
1,4,15,0,484,23038,49,38,280,11675,6740,30,11
2,2,13,0,734,21361,40,41,7113,13682,5779,27,10
3,10,7,1,255,17398,54,41,248,16639,6925,33,12
0,7,8,0,420,17147,49,32,5037,19215,5942,29,12
2,2,10,0,835,20897,69,26,2048,12194,7774,38,13
0,11,10,0,359,25777,69,50,387,18024,6487,34,12
5,11,8,1,414,34565,80,23,1195,34653,9521,42,12
2,8,17,0,430,25588,70,69,3122,20010,9044,33,13
2,5,14,1,578,31488,63,29,778,13243,6576,38,10
0,6,10,0,255,13795,28,18,1711,11759,5463,24,10
1,9,11,0,332,41825,87,29,850,16259,7617,50,14
1,14,9,0,288,19874,81,40,5986,30215,6949,37,12
4,2,20,1,1023,30809,85,47,8610,19121,10001,42,14
1,1,10,0,544,12821,40,18,1152,8388,5507,29,11
2,3,3,0,427,12869,35,21,258,14997,5612,25,9
1,3,14,0,537,20111,40,22,470,8511,6429,26,11
2,0,15,1,0,35964,43,35,5326,14129,6569,26,11
0,5,1,0,478,17154,54,28,2262,13594,5063,36,9
2,7,13,0,487,31060,81,35,2842,19969,9044,47,14
2,5,19,0,622,22148,61,34,13097,19404,8263,36,14
2,6,6,0,535,16979,44,36,801,12113,5372,30,9
1,2,13,0,534,17592,41,17,1322,7803,6013,34,11
2,6,10,1,1075,22016,122,38,1819,21346,8154,42,12
1,6,25,0,1059,25901,70,55,18441,25161,9137,30,15
2,4,10,0,739,36121,71,35,2389,14262,8447,22,13
3,3,14,1,590,17593,39,33,915,9805,6341,25,11
2,5,7,0,547,22871,41,23,2417,13248,5457,28,10
0,4,6,0,717,23011,117,31,12243,11252,7018,32,12
1,2,13,0,1446,17788,84,20,2014,13628,8262,31,13
3,10,18,0,396,31939,108,35,10042,23978,10710,30,15
0,7,16,0,654,24083,73,55,491,17083,8078,33,12
2,3,17,0,409,22005,64,29,4731,8700,6804,31,11
0,3,6,0,1060,20145,50,27,800,7815,5328,36,10
2,3,7,0,679,26834,65,10,1604,13459,7078,34,11
1,5,8,0,533,13629,75,25,539,11999,6525,23,11
1,6,14,0,426,43399,58,34,6003,12157,8215,23,13
4,4,15,1,391,42211,64,20,5723,20443,8523,35,13
1,5,8,0,911,35458,60,24,1938,19104,7458,32,12
2,4,16,1,1227,26332,68,64,1989,14122,7501,35,13
1,10,18,0,358,38047,64,32,3027,27163,8596,63,14
4,4,27,1,568,32361,89,46,4630,11656,9542,38,15
0,8,10,0,485,19072,72,32,197,19297,6556,42,13
3,14,17,0,224,29932,92,39,948,31270,8611,39,11
1,11,25,0,191,24235,74,54,3055,23419,8620,33,15
2,7,8,0,360,26795,48,48,4143,18800,6315,26,11
0,6,17,0,473,15605,46,26,1768,12009,6977,26,11
5,5,5,1,707,31682,65,15,132,13014,7139,41,11
1,3,22,0,443,23586,34,38,834,12655,6842,22,11
4,11,5,1,268,29037,42,21,320,15354,5929,29,9
5,10,18,1,580,54421,161,36,4456,34995,11425,61,15
1,3,9,0,511,10973,46,22,3478,11951,5679,25,11
2,1,10,1,1033,16163,50,17,331,5946,6711,22,12
2,7,17,1,387,96312,18,36,2823,21792,8784,152,14
1,2,20,0,1291,24977,39,29,761,11352,7499,26,14
0,9,6,0,276,18020,66,12,1467,18821,5741,34,10
7,6,8,2,767,45269,104,36,1279,22302,9596,37,12
1,9,12,0,507,35829,72,21,1861,25773,7559,45,13
6,4,11,3,424,40513,45,23,2466,13084,7849,45,12
11,12,12,2,394,41386,80,45,3139,46617,11265,49,14
8,11,13,0,400,30097,85,36,8870,31104,14673,55,15
0,7,9,0,277,33448,52,18,1239,19383,5956,35,10
0,2,12,0,520,22444,47,34,6151,10468,5728,33,11
1,5,14,0,912,21831,61,33,1300,19629,7488,24,12
0,9,13,0,495,21479,65,38,1302,22966,7129,25,11
1,9,12,0,427,26308,63,69,1190,19124,7641,27,13
6,4,19,1,673,45931,75,31,4557,29988,9953,51,13
2,4,4,1,642,21454,32,39,3110,14442,5231,27,9
0,2,7,0,604,20011,35,37,606,7647,5094,26,10
2,7,11,0,449,17985,55,23,1368,13031,6033,28,11
8,2,8,2,769,26365,68,17,3338,10866,10253,36,12
2,6,11,1,814,20678,44,44,5724,21469,6861,30,10
4,7,11,1,479,48013,83,20,1375,17997,7932,50,12
4,4,1,2,769,15090,39,21,490,9851,6262,27,8
3,2,14,0,697,20173,61,25,4256,11785,7812,33,13
0,11,14,0,383,18984,66,35,369,23084,6670,28,13
0,8,20,0,484,31672,99,22,6579,20610,8309,33,15
0,8,14,0,498,16580,59,33,4378,18443,6574,34,12
1,6,9,0,357,22797,59,28,3219,19162,6614,26,11
1,8,8,0,385,15911,39,33,5007,21267,5380,22,10
4,5,15,1,504,29201,54,36,822,17470,8038,38,12
1,3,5,0,1042,18428,62,33,4066,14957,6555,27,11
2,4,7,0,695,27997,62,13,1435,14465,7344,41,13
4,2,16,2,492,30593,59,22,2868,12650,8107,32,12
4,8,7,2,426,16313,58,22,372,13792,6738,44,10
4,0,15,1,0,24446,36,21,2276,10592,6602,37,10
1,2,21,0,1107,36312,120,21,10612,15900,9151,46,15
0,9,14,0,511,19055,82,30,1547,22238,7994,30,13
1,2,10,0,655,23878,29,14,1616,9577,5659,28,10
3,7,6,1,400,21912,55,29,929,13142,6399,35,12
1,3,17,0,603,13871,39,24,7061,13756,7234,21,12
1,8,15,0,442,40314,93,21,1481,19673,8527,57,13
0,7,16,0,433,17950,64,44,2345,21042,6956,30,12
8,5,12,2,832,27233,90,32,5380,19861,15208,43,14
2,10,9,1,347,22529,77,37,5473,27520,7842,29,12
2,4,3,0,570,21619,33,11,3672,8877,5616,37,10
1,0,8,0,0,19266,42,18,456,5470,5813,34,10
1,10,10,0,289,17673,49,26,1566,20246,6541,27,12
3,6,27,1,726,28480,65,58,12444,26153,9078,31,15
2,4,25,0,642,24659,49,44,12841,19909,9442,38,14
1,8,6,0,502,20271,87,28,1229,17127,6184,43,11
0,6,20,0,832,17054,65,34,1032,11822,8008,30,13
3,10,10,0,378,38985,53,21,0,24598,8459,58,13
4,3,11,1,249,29655,75,36,2655,13844,8330,47,14
1,4,12,0,885,20460,66,33,425,13875,7279,24,12
1,3,10,0,1018,22578,87,26,1220,12633,7744,41,13
4,6,4,1,457,40349,66,12,361,15165,7194,42,11
4,2,12,1,684,21298,57,30,2000,11427,8615,44,13
2,4,17,1,367,27689,71,23,6871,10725,8606,41,13
2,6,12,0,393,32862,68,32,4292,17073,6874,43,12
4,5,15,1,382,36674,71,44,4843,9267,8994,28,12
4,4,9,1,647,43501,61,29,5499,17978,8073,40,11
1,4,25,0,901,16411,37,24,1519,10902,7296,29,11
0,10,11,0,194,21885,30,35,5020,17475,5286,20,12
3,15,2,1,168,43559,5,18,1278,26525,6858,82,10
2,3,11,1,598,28724,66,29,10082,11797,7297,26,13
1,4,9,0,963,13696,64,19,7055,18794,6571,24,11
0,3,18,0,1154,24468,96,40,1604,20216,8026,39,14
4,2,17,1,504,24456,75,25,14691,14808,8813,41,13
2,7,5,0,460,30667,67,22,158,16398,7281,36,10
2,3,11,0,756,22584,45,43,1302,9752,6988,27,11
2,6,3,0,376,18617,26,22,412,9623,5323,42,9
4,9,12,1,473,26726,76,41,1280,22546,9011,42,13
1,3,25,0,839,25169,75,37,8889,19384,8957,39,13
3,4,17,1,497,32421,80,36,3060,14333,8844,40,13
2,3,7,1,1492,27463,82,19,1632,19242,7710,58,11
1,7,7,0,340,19070,36,30,200,11365,4870,26,9
2,2,18,1,612,23065,45,34,1988,6654,6480,22,11
1,4,12,0,557,22512,39,38,2688,12709,5794,25,11
0,8,4,0,819,14151,40,19,1931,14710,5400,27,9
5,8,11,2,360,27949,50,19,578,14250,7129,40,11
2,6,17,0,234,29296,51,27,6439,13092,7022,38,11
0,5,15,0,400,24387,63,31,3584,11190,6822,27,12
3,8,15,1,354,15775,67,30,2192,19089,7685,27,11
4,5,14,1,839,40703,88,40,9215,26756,9508,34,15
6,5,8,2,658,41019,113,21,1712,21823,10456,57,15
1,5,13,0,482,14345,54,31,583,12810,6806,29,10
2,5,9,1,569,21453,54,23,607,11299,6730,31,11
3,1,12,1,695,22979,76,19,3184,5922,6927,37,12
1,6,5,0,487,20795,33,14,0,14498,5124,36,10
2,5,7,1,502,15474,59,24,1993,11479,6568,33,10
1,5,8,0,967,19844,68,28,1338,15453,7719,34,12
0,2,10,0,957,22791,77,13,3605,15224,6783,41,12
4,10,11,1,226,26678,83,25,504,20575,7766,35,12
0,9,15,0,313,18489,48,22,4461,25198,6409,26,13
2,7,4,0,549,27239,54,23,4533,22357,6601,40,11
2,9,11,0,388,113548,17,53,9464,18959,10092,181,13
4,4,11,1,519,40487,79,20,2058,17129,8660,37,13
7,6,9,2,775,27779,64,69,831,16991,9125,25,12
6,6,11,1,606,45071,79,36,11224,17727,10616,33,14
0,9,6,0,395,24321,41,13,99,15672,5520,29,10
6,2,21,1,424,24974,49,34,2025,13175,8900,27,13
1,10,8,0,328,45242,44,21,936,25281,7106,58,12
1,10,6,0,342,21142,53,25,1386,15643,5359,28,11
3,6,11,1,612,23930,91,29,908,15910,8337,41,12
0,7,17,0,375,21571,80,43,1867,16411,6991,36,13
7,7,21,3,433,46657,95,34,2129,20085,10125,45,13
1,9,19,0,311,24471,54,40,0,17858,7065,45,13
0,7,6,0,299,17273,37,18,0,10304,4488,31,9
3,7,10,0,583,21026,89,14,3012,16164,8125,36,12
2,6,15,0,395,35909,68,29,8199,15075,8171,43,14
3,11,6,1,246,26904,59,14,1053,16964,5855,32,8
4,3,25,1,384,17510,39,45,1334,13317,7575,28,12
2,7,12,0,313,23075,61,34,6297,21073,7690,35,12
0,4,13,0,969,17475,85,24,872,12619,7657,29,14
3,4,21,0,1016,26938,96,28,2971,18551,10217,37,14
4,6,5,1,307,30670,83,19,1846,15896,6793,39,10
0,6,16,0,389,20860,59,42,1343,14932,5926,31,11
0,4,14,0,413,31852,45,20,4126,21610,7163,42,13
1,7,8,0,600,24196,47,39,4329,17492,5763,32,10
3,3,5,1,414,25735,45,9,2047,7772,6197,24,10
1,1,4,0,984,33789,66,14,1858,10502,6151,50,11
4,5,5,1,752,33061,76,18,2299,21779,8012,33,12
0,5,13,0,790,24694,71,41,303,13895,7099,40,13
4,5,4,1,642,35074,42,23,4631,13836,6560,46,10
1,4,12,0,605,20867,52,23,529,11082,6245,32,11
0,7,18,0,251,21962,40,43,1099,14757,6906,27,11
2,12,8,0,321,35963,53,19,246,21280,7249,46,11
2,2,8,1,626,30831,32,30,2445,10942,6243,41,10
3,4,2,0,713,16258,39,14,168,10185,5606,27,9
4,9,15,0,299,31051,39,20,2481,19923,7136,32,12
0,8,10,0,297,37852,44,45,3043,19661,5950,45,10
1,5,4,0,395,15031,38,22,0,10253,5265,31,9
4,7,6,0,356,25000,29,35,0,13164,6782,36,11
5,8,9,0,241,27301,53,11,0,15488,7699,39,11
6,6,15,2,294,50381,68,27,2842,16941,8950,33,12
7,5,6,2,535,21806,74,14,2999,14085,8762,43,11
3,8,15,1,212,25032,65,27,4677,15570,7287,39,12
4,8,11,0,446,29263,35,29,1865,19324,6616,30,10
3,7,12,0,481,29955,43,25,441,18814,7374,39,12
6,5,11,2,818,47327,88,25,435,16688,8365,55,12
0,4,12,0,659,26659,58,23,5315,18080,7426,32,13
4,5,11,1,617,21915,55,37,1226,13595,7090,29,13
1,9,3,0,445,17748,45,19,1410,23731,5230,24,10
2,6,11,1,636,17686,70,22,469,13142,7596,41,12
7,3,14,2,707,55499,126,22,2467,17465,10353,43,14
0,3,4,0,885,21410,47,15,945,10029,6067,24,11
13,4,18,3,477,62574,80,30,3397,17693,12060,63,14
8,4,12,1,452,42171,41,24,6036,14889,7943,28,12
3,3,7,0,632,27180,48,22,0,9245,7662,49,11
1,1,18,0,904,29098,100,29,5348,11026,7154,56,13
3,3,4,1,938,32088,51,18,2729,13163,6221,33,10
1,4,13,0,285,22982,42,38,1027,10296,6520,36,11
1,9,5,0,372,16100,70,14,1981,13731,5866,44,10
2,8,7,0,473,44050,131,29,3390,35764,9826,52,14
1,12,14,0,434,23760,100,38,9610,27762,8651,31,14
1,4,31,0,993,31575,102,37,3020,20756,9613,44,15
0,4,15,0,497,16375,53,19,1323,13428,6757,28,12
2,3,10,1,664,32729,47,39,1317,8667,6820,26,11
1,5,8,0,367,20572,32,30,844,12813,6648,32,12
1,6,9,0,574,16619,40,24,850,14726,6319,30,12
3,5,11,0,451,21763,74,21,1365,15050,7648,38,12
0,6,13,0,652,26551,96,18,1812,15911,7156,54,13
0,5,10,0,530,42237,64,52,79,17400,7020,56,12
1,10,17,0,435,24535,58,63,1947,25490,7766,35,13
0,7,6,0,365,18241,30,17,1142,15885,5734,30,11
1,4,14,0,505,31313,62,26,2881,16941,7170,41,11
1,5,1,0,472,16930,59,19,271,11283,4957,33,10
0,0,10,0,0,27664,68,16,10332,7438,7139,44,13
0,3,2,0,1171,16573,58,26,2988,16679,5895,37,10
3,5,12,0,556,19436,61,36,3576,18396,7588,25,11
4,6,19,1,487,41455,129,26,4561,20835,9641,42,15
1,6,12,0,686,17274,100,40,2220,17801,7732,45,12
14,4,17,3,464,54259,89,29,3822,19447,12037,44,14
1,9,11,0,333,27141,51,37,704,20832,6736,35,12
1,1,14,0,800,46627,90,35,11369,14773,7484,55,15
0,4,10,0,1105,23864,87,29,8301,21550,7325,47,13
1,7,9,0,498,17401,44,22,980,16790,7061,24,12
1,4,14,0,487,23145,56,20,539,10651,7021,33,12
1,4,6,0,692,24457,25,39,3030,12693,5326,32,10
4,3,8,1,488,29015,43,17,2780,13381,6434,25,11
4,2,10,1,485,25441,70,16,3871,13192,9335,40,12
0,5,2,0,651,16166,54,11,329,10273,4903,27,10
2,2,11,1,1102,19625,48,8,5024,7736,6468,29,12
5,5,12,1,682,30397,67,49,8318,22119,8388,32,12
2,8,30,0,315,24780,65,67,14473,23017,8919,39,14
3,1,18,1,929,23216,58,27,1093,10902,8414,36,13
2,10,2,0,262,31161,60,17,1913,25704,6751,30,10
1,6,2,0,373,14096,20,11,3061,12978,4987,24,10
4,3,8,1,570,30351,59,18,1802,14787,7036,31,11
0,8,5,0,404,12239,42,24,133,13323,4843,31,9
17,8,10,4,535,40147,87,36,7048,24745,17617,46,14
6,6,18,1,493,42389,62,37,2107,29092,11114,40,14
4,5,7,2,499,26658,58,18,552,12714,6444,38,10
1,3,16,0,800,28772,41,36,4179,13204,6797,47,11
5,4,17,1,292,44464,89,17,3350,15119,9383,39,13
4,9,10,0,556,31067,105,20,3022,27069,8876,47,14
0,8,14,0,603,25267,84,39,3043,22491,8246,33,13
2,4,9,0,472,22444,54,39,6449,13374,7141,34,12
4,5,4,1,483,21485,65,30,5219,15866,6541,33,11
1,4,13,0,885,23219,77,38,7214,15083,7884,32,13
0,7,4,0,812,25918,77,34,733,18870,7092,38,12
2,4,13,0,1140,19506,73,29,1345,15549,7557,37,13
1,8,7,0,412,35422,93,13,100,18090,7444,41,12
5,7,7,1,418,29378,76,27,586,14200,6967,35,9
3,7,15,0,186,22535,34,41,8419,16889,7197,30,12
1,5,16,0,756,20334,95,41,8272,24529,9247,46,14
4,1,7,1,988,22387,40,17,1826,11778,6534,35,11
2,5,6,1,436,17423,40,19,422,10606,5593,24,10
0,0,14,0,0,13559,48,17,1049,7117,5663,28,10
2,6,14,0,751,18732,87,25,2651,17626,9001,25,14
0,6,8,0,892,21836,92,23,1497,18280,7178,40,12
6,9,17,1,354,57226,50,40,708,29746,9534,54,14
1,6,24,0,487,37305,68,71,1409,21362,7639,37,13
0,5,9,0,474,22417,81,21,1530,14085,5889,43,11
2,4,7,0,600,21205,67,26,693,12534,6945,36,11
6,9,10,2,397,35346,106,30,3704,28047,10344,46,14
0,13,14,0,418,18686,106,18,4897,28440,7813,39,12
1,10,8,0,581,24149,54,45,684,21831,6730,37,11
3,2,18,1,448,61771,67,36,7342,14412,10213,46,15
1,6,9,0,450,20925,73,38,8615,25875,6633,35,12
1,7,10,0,361,32261,48,21,0,19817,6558,33,11
1,6,13,0,411,17878,72,33,1390,14692,7729,31,12
3,13,13,0,301,38023,91,28,1091,30624,10027,43,14
12,9,9,4,689,34885,103,23,8245,25963,14612,41,14
2,7,11,0,632,17930,61,30,1817,20612,8301,25,12
3,5,20,1,796,25973,70,28,6765,13465,9279,24,14
6,3,29,2,422,25611,91,47,20403,12098,10599,26,15
0,4,6,0,751,18189,57,28,1112,16865,5662,32,11
2,3,18,0,813,26051,66,26,2744,14220,7815,32,13
1,7,11,0,639,36899,51,21,3261,17715,6623,31,13
6,0,11,1,0,37976,56,17,1689,9022,7826,42,12
4,6,0,2,402,11421,26,10,979,9653,5670,29,9
1,7,5,0,554,25631,37,37,470,14753,6304,48,12
1,1,13,0,1402,21043,56,19,1279,8100,7575,31,12
2,4,15,0,701,18608,69,27,1351,15918,7467,30,13
1,10,5,0,295,18783,44,21,2018,18496,5884,25,10
1,7,10,0,701,17719,78,28,1297,19392,8105,26,14
0,4,10,0,705,18438,85,26,10576,21382,8334,38,15
3,5,13,1,426,21438,54,36,1557,14805,7051,27,12
0,12,14,0,200,30475,64,18,664,19388,5878,43,12
0,0,10,0,0,14385,49,18,2055,9195,6284,34,11
0,2,4,0,1275,22798,61,20,2304,7991,5592,33,11
1,10,9,0,376,29588,69,22,2263,16754,6433,37,12
0,3,13,0,1174,26700,99,39,2639,12702,7674,39,12
1,5,13,0,492,23573,54,26,5800,12054,6720,36,12
0,4,3,0,617,25008,43,7,738,7115,4930,36,10
3,1,8,1,582,26570,74,15,47,9438,6872,53,11
2,7,6,0,606,27410,91,18,732,21830,8345,66,13
1,3,20,0,979,28601,88,42,2914,15928,9383,39,14
4,7,4,1,513,16668,61,23,4368,17381,8069,31,10
1,4,17,0,498,18628,36,39,5805,15472,6629,24,11
2,5,13,0,520,23051,56,26,5418,15520,7179,27,12
2,6,10,0,756,48177,77,13,965,12889,8470,23,13
1,3,14,0,467,25257,24,15,10703,13098,6627,28,11
1,5,6,0,377,14746,42,23,229,9664,4624,25,9
