stats.kills,stats.deaths,stats.assists,stats.killingSprees,stats.longestTimeSpentLiving,stats.totalDamageDealt,stats.visionScore,stats.timeCCingOthers,stats.totalHeal,stats.totalDamageTaken,stats.goldEarned,stats.totalMinionsKilled,stats.champLevel
3,6,5,0,632,73374,19,12,1401,12885,7685,113,12
7,0,3,1,1237,162151,12,18,4288,13983,12318,198,15
2,6,1,1,255,87571,13,8,1077,12138,8099,154,12
4,4,6,1,994,131854,15,33,3269,16679,11299,212,16
2,8,3,0,384,52054,6,11,1140,14673,6786,115,11
9,1,7,2,797,108700,21,24,700,8567,10997,175,14
3,3,1,1,857,96455,14,22,3618,17099,9351,194,14
0,4,7,0,469,80774,7,16,6871,17948,7349,153,13
8,2,4,2,639,93310,21,9,290,11693,10596,151,14
1,4,2,0,458,114086,12,8,4530,16407,7259,157,12
10,1,3,2,1043,121829,14,13,2302,15680,12377,166,13
0,7,1,0,458,64377,14,13,804,14456,6350,148,12
4,5,8,1,443,105678,17,20,3095,17103,10126,187,15
2,7,2,0,558,87973,14,14,4839,23718,7552,154,13
4,3,8,1,725,92657,14,13,4103,16898,10698,176,13
3,6,4,1,381,86219,11,2,1728,17071,7678,147,13
1,4,7,0,599,67667,14,23,3927,14575,6801,131,12
5,1,9,1,873,113535,15,17,4924,17440,10864,160,14
4,2,14,1,748,94273,22,29,5691,18820,11194,166,16
0,7,2,0,413,147474,22,9,5932,29560,9948,190,15
1,10,1,0,351,135409,31,18,4174,26187,10412,217,14
5,10,4,1,438,118360,20,21,6185,28254,10801,166,15
6,8,7,2,331,160032,31,10,4361,21135,13122,179,15
3,5,6,0,355,111527,13,8,5468,23410,10278,183,15
2,4,4,0,993,168811,17,8,5645,20159,10125,186,14
5,2,5,1,579,179813,10,3,21960,19598,12018,219,15
2,10,3,0,443,179523,26,15,5892,32252,12673,223,16
1,6,1,0,568,136924,22,8,1405,21207,10200,236,15
3,6,0,1,372,62312,7,11,804,16161,7064,126,12
10,3,3,2,852,87640,20,3,3364,12879,9945,150,13
1,5,3,0,343,60527,14,10,393,12260,7413,163,13
8,5,5,3,550,165475,13,23,111,13716,13661,207,15
3,9,11,0,308,127740,16,12,6520,28451,11058,193,15
7,5,4,1,484,145513,24,22,10016,32803,12508,221,15
4,14,10,1,399,140881,25,5,2029,48271,12592,187,16
0,5,3,0,613,121100,20,20,4147,21020,9422,212,15
4,2,12,2,1266,116967,29,25,4543,21342,10049,173,16
1,4,4,0,774,62936,10,19,1878,15912,6716,119,11
1,3,6,0,692,59045,14,21,1560,14127,7177,120,12
2,8,0,0,333,85764,11,9,3863,25906,7814,156,13
11,3,2,3,480,154930,26,11,9066,26731,13761,174,15
2,12,17,0,260,128009,23,46,2954,32812,11483,151,15
5,5,7,2,352,74806,18,18,1214,14974,7941,116,12
8,4,10,3,702,192260,24,17,10810,32022,14180,212,16
16,3,10,3,574,140034,17,39,6504,15531,15275,175,16
8,9,4,3,277,124265,29,8,2040,21549,11546,155,14
4,4,3,1,571,118616,16,2,6989,18038,9784,186,14
5,4,7,1,566,133842,25,13,4129,20897,12542,193,15
6,10,3,1,373,85723,16,31,3792,34459,9380,120,14
1,11,4,0,473,142385,19,19,3157,26953,10993,197,15
1,2,12,0,936,89013,11,28,3382,17782,8252,137,13
8,6,6,3,525,161172,22,19,2258,29363,13089,202,16
