stats.kills,stats.deaths,stats.assists,stats.killingSprees,stats.longestTimeSpentLiving,stats.totalDamageDealt,stats.visionScore,stats.timeCCingOthers,stats.totalHeal,stats.totalDamageTaken,stats.goldEarned,stats.totalMinionsKilled,stats.champLevel
9,4,11,2,388,101507,27,34,6,12003,11484,151,13
3,6,6,0,474,130736,19,13,1941,16247,10483,185,13
9,3,9,1,505,161986,24,31,3385,12815,12527,173,15
7,6,7,2,458,125394,22,18,1935,17998,10036,160,12
4,7,6,1,466,140411,12,5,2926,18687,12439,218,14
10,6,5,2,763,121857,31,2,1958,18242,11552,165,14
8,6,15,3,257,167770,34,42,2998,19150,13393,193,15
5,0,12,1,0,104920,20,43,1445,8200,10879,163,12
6,10,9,2,340,204233,22,7,4596,26999,14909,202,16
11,6,5,4,296,137889,15,19,1883,13700,12912,170,13
13,5,4,3,800,175034,38,3,3959,23114,15432,224,16
12,4,7,3,601,159244,7,11,2554,14774,14079,190,14
12,3,11,3,712,207097,19,9,5337,17308,15627,257,16
2,6,8,0,311,92613,17,18,3032,13995,8556,159,12
11,5,4,3,437,144847,8,1,2211,18295,12251,157,13
2,1,6,1,1181,144111,15,10,1966,9064,10863,182,13
12,4,6,2,677,143225,19,3,3028,16495,13595,199,14
6,8,11,1,396,133787,13,0,1094,17585,10965,179,14
0,5,2,0,888,69445,9,0,1610,13492,6564,159,11
3,0,7,1,0,117264,11,6,1028,10161,9364,191,14
0,5,3,0,364,101041,17,13,397,9830,7981,189,12
2,2,11,1,1170,118536,33,26,1631,8374,10833,179,12
5,3,11,1,470,125756,21,9,961,8098,11118,185,13
3,4,5,1,579,124575,16,10,1019,18650,9395,184,13
5,1,14,1,1732,176472,58,24,2132,12081,12596,190,14
11,6,12,3,451,211143,44,3,2394,17357,15389,226,15
9,2,9,2,851,192979,38,3,2605,14256,12810,219,13
3,6,6,1,512,138874,21,25,3029,18756,9879,191,14
2,5,21,1,581,139025,56,36,3854,17797,11983,183,15
3,12,4,1,261,110694,14,15,1666,23142,10562,185,14
10,2,5,2,625,143007,21,8,945,12571,12572,172,13
5,3,5,1,485,111027,13,0,2399,10518,10438,185,13
5,2,3,1,802,127886,23,6,2191,11143,10155,197,12
6,2,11,2,772,100923,14,29,502,13936,10344,160,15
4,6,7,1,485,135252,17,14,1997,13941,10506,209,12
2,8,5,0,592,76068,16,28,1154,16083,8003,175,13
3,4,13,1,566,121322,34,10,1478,9694,9929,174,13
16,3,8,2,426,145317,20,8,3136,12982,14846,192,13
5,2,6,1,603,116418,10,6,1871,9228,11477,164,12
2,7,4,0,539,86576,7,11,647,15616,7674,150,11
12,4,5,2,571,141638,11,6,837,13210,13855,188,13
11,3,12,2,782,103625,20,5,2827,15520,11437,153,12
10,7,11,3,546,187534,38,7,4909,21461,15437,236,16
7,5,6,2,569,124346,22,13,3299,18382,12088,202,15
12,7,9,4,265,184917,22,3,1371,17805,14099,200,15
4,5,1,1,531,89241,18,1,1305,10868,8743,169,11
14,2,7,1,820,135211,5,10,2456,16406,12885,147,13
10,3,6,2,1000,145696,15,24,2081,10869,13882,178,14
6,8,3,2,494,129036,13,2,1742,23272,10435,172,12
12,5,7,3,871,206841,22,24,4163,23648,15564,221,16
7,4,15,2,678,130785,25,34,13783,13493,13973,213,15
5,4,6,2,988,167524,29,17,3188,15620,12651,213,14
17,2,5,3,756,174016,27,1,1857,12287,14534,172,14
4,4,11,1,544,199416,32,19,1124,12957,13729,257,15
4,4,3,1,772,70244,14,13,1787,10428,8309,151,11
5,9,21,1,412,148801,38,50,15288,24091,14324,210,16
6,5,15,2,1097,158287,31,4,2937,18079,13595,213,15
6,8,11,2,781,106769,30,12,2870,20276,10506,200,13
2,1,8,1,434,164319,11,2,1720,9921,10622,195,13
9,1,6,1,436,100147,34,13,2109,9422,11203,185,13
1,4,3,0,632,94146,24,10,1272,7755,7532,168,12
3,7,9,0,1002,218984,29,26,3420,18838,12813,285,16
6,2,14,2,609,111829,14,15,2802,10215,9639,143,12
5,4,6,1,653,214478,27,39,1869,12677,13324,265,15
1,8,9,0,356,146313,39,11,3034,18642,11327,204,15
4,2,7,1,732,164673,21,7,3521,15987,13645,236,16
1,7,3,0,1065,164929,12,14,3266,21532,10399,239,14
15,4,6,2,779,131427,9,3,3269,14395,12603,147,13
3,10,7,1,652,160518,49,13,6987,31866,11752,209,15
9,5,10,2,743,231467,36,3,3072,21420,16261,248,16
1,1,6,0,818,89280,19,4,952,8229,8068,180,12
3,7,4,1,431,88142,7,14,1771,12753,7407,150,11
14,3,6,4,567,129490,14,9,1019,12375,14055,165,14
3,6,5,1,548,138653,21,4,418,15727,10807,204,13
6,4,7,1,462,190594,22,13,2092,11296,13535,198,16
1,0,13,0,0,184359,28,53,1368,10887,12438,226,16
0,5,8,0,778,80930,31,47,12687,20385,8473,166,14
7,4,9,3,579,180598,22,2,4058,24594,13620,178,15
11,1,8,2,1540,150103,22,41,4125,19237,13900,216,15
3,7,6,1,346,164789,13,4,4660,20685,11753,208,15
7,8,7,2,438,113050,26,10,3598,18595,12205,203,13
10,1,17,2,1308,137565,33,52,15002,10541,14160,173,15
4,2,12,1,1086,200750,37,8,2327,19666,13265,252,16
6,6,9,2,559,155983,25,19,4448,17093,12005,169,14
5,3,17,2,501,154459,27,9,4157,18501,12690,204,15
11,4,7,1,459,154022,22,9,3235,13384,15627,216,14
4,6,7,1,442,133552,11,23,2631,13746,10740,205,13
4,7,12,1,622,210189,37,34,2120,19881,14399,258,16
9,5,7,2,669,199015,43,0,5406,20764,15820,238,15
9,5,8,2,478,329632,26,27,4658,20924,17959,278,16
13,10,10,3,511,178766,21,0,6257,31942,15409,198,15
4,6,7,1,592,180393,31,1,1794,22093,13544,268,15
3,4,15,1,688,183047,18,5,1922,16431,12474,207,16
8,6,10,2,648,242200,39,13,1596,16692,15765,225,16
5,4,12,2,841,179525,23,50,16094,18941,15494,241,16
2,1,8,0,625,100092,22,12,939,5778,8963,171,12
7,3,12,1,595,133310,26,15,327,8880,12168,176,14
8,7,15,3,419,138775,28,25,3347,17129,13144,200,16
8,9,7,2,665,152097,16,2,2439,21496,13833,201,14
6,7,5,1,392,53022,17,25,5073,13271,10640,144,12
1,3,10,0,887,103854,20,13,3300,10691,9094,145,13
10,4,9,1,1009,131941,9,10,4563,20404,12294,195,13
1,4,8,0,717,107801,19,20,4369,26300,8941,155,14
17,4,7,2,521,122459,23,13,5441,20567,13745,159,14
7,6,9,2,349,115090,21,15,3095,17101,11858,160,14
7,2,9,2,346,144769,22,2,1300,11663,11840,173,15
10,8,3,3,707,112835,23,13,5123,23499,13334,189,13
11,9,8,2,334,134974,30,7,3999,19981,14163,179,14
8,3,11,3,752,165658,26,30,4970,19855,12975,189,15
4,2,11,1,1321,110897,27,14,2378,10908,10017,174,14
2,10,3,0,353,87143,12,10,568,22061,8394,162,13
1,6,9,0,615,78183,17,28,1498,13267,8378,167,12
4,3,5,1,795,131085,21,18,1583,12124,10537,189,14
2,6,3,0,481,110265,5,17,3173,16086,8934,197,12
1,4,1,0,516,98398,15,1,1808,10187,7728,173,11
9,2,5,2,692,128439,26,16,1000,5674,11424,176,12
0,6,2,0,275,86062,16,3,1650,9997,6967,179,11
4,9,4,0,263,82221,16,11,3860,18295,8578,153,11
9,4,8,2,491,112944,8,1,1721,11627,11514,173,13
8,0,6,1,0,138566,13,6,875,4326,12259,202,14
3,3,3,1,378,97808,15,0,927,8349,9507,197,12
3,7,2,1,461,167543,12,0,2061,16892,11918,233,14
8,0,12,1,0,167129,30,32,3822,11056,14522,225,16
