stats.kills,stats.deaths,stats.assists,stats.killingSprees,stats.longestTimeSpentLiving,stats.totalDamageDealt,stats.visionScore,stats.timeCCingOthers,stats.totalHeal,stats.totalDamageTaken,stats.goldEarned,stats.totalMinionsKilled,stats.champLevel
4,9,9,0,304,137827,37,26,5841,21520,9092,20,12
5,3,6,2,646,102005,17,14,3036,16942,9475,141,13
4,5,15,1,637,162542,38,17,11213,23672,10995,21,15
5,10,7,1,331,206962,24,23,10918,33105,11694,36,14
6,6,6,2,493,205864,56,25,11167,24625,13769,41,16
4,6,6,1,589,166347,24,32,9700,28898,10368,41,14
1,6,3,0,459,76363,30,11,3876,13948,6521,27,11
2,3,8,1,834,42363,26,15,8719,14140,6857,83,12
9,3,13,2,484,134474,43,20,8124,18570,10562,25,13
4,10,19,1,687,132442,27,33,6523,36845,11116,22,15
9,8,7,2,474,161065,45,26,7306,26947,13271,30,15
7,3,7,3,649,166702,33,6,9956,22160,10995,49,14
3,5,22,0,643,35369,71,35,10094,25389,11320,31,16
5,6,8,2,713,116919,21,22,7232,29296,8636,20,13
6,6,7,2,805,203311,37,35,13223,30457,11368,36,14
3,10,5,1,389,107196,21,18,5934,20653,7388,24,11
11,2,10,2,858,154164,31,13,6982,20340,12018,28,14
6,0,4,1,0,145577,23,5,5481,15640,10101,32,14
2,4,0,0,374,125514,19,1,9372,17604,7236,27,12
7,10,15,2,282,145185,24,31,18803,37388,9723,26,13
2,5,4,0,707,139274,26,14,6476,15487,8124,40,12
7,2,10,2,822,189295,37,12,10159,18109,12253,60,14
9,3,6,2,680,186108,28,14,14562,27091,12847,51,15
3,6,6,1,467,162056,30,22,5156,24026,9588,57,14
12,10,15,2,439,172680,33,26,8676,34932,14166,33,16
10,5,20,3,671,231593,49,5,23105,30049,15804,37,16
11,4,7,3,713,206052,23,10,21925,30021,13151,29,15
5,1,10,2,1218,94717,15,21,7887,21865,10605,151,14
4,10,6,0,354,197287,52,6,12288,34935,11385,40,14
1,2,6,0,1042,110660,31,3,8348,17214,8250,37,12
3,5,10,1,402,127007,12,2,12321,22355,9092,27,13
8,3,9,2,501,135421,19,19,6450,14678,10305,22,13
0,5,3,0,687,84130,17,8,8739,21257,6290,25,11
5,5,8,1,616,110073,22,36,30048,35770,8342,21,11
15,4,5,1,654,182517,15,17,13320,34419,13967,58,16
8,4,11,2,721,174393,29,18,5811,15715,12057,39,15
3,4,9,0,510,165726,20,2,14694,24134,9388,34,14
10,3,9,3,307,176008,43,3,14745,17775,12602,32,15
10,3,6,4,395,122259,22,9,8689,17026,11064,21,13
6,11,1,1,217,90153,16,9,4780,23427,7840,22,10
12,1,13,2,499,121673,26,19,5250,14029,11035,27,13
9,7,11,2,486,200509,36,28,17137,38184,14878,69,16
3,6,17,0,718,150144,42,15,7004,29035,12170,31,15
6,7,4,3,311,159479,16,11,12586,28260,10404,50,14
13,2,10,3,688,186840,39,22,15832,25936,15085,47,16
2,7,8,0,244,135292,11,18,12052,23927,8494,32,12
3,4,7,1,590,111220,39,16,8166,16656,7719,26,12
1,5,1,0,385,46973,8,13,6051,16067,5033,78,10
